sample_id,native_frame,mapper_all_tp,mapper_all_fp,mapper_all_fn,mapper_all_tn,mapper_boundary_tp,mapper_boundary_fp,mapper_boundary_fn,mapper_boundary_tn,mapper_interior_tp,mapper_interior_fp,mapper_interior_fn,mapper_interior_tn,mapper_dilate_all_tp,mapper_dilate_all_fp,mapper_dilate_all_fn,mapper_dilate_all_tn,mapper_dilate_boundary_tp,mapper_dilate_boundary_fp,mapper_dilate_boundary_fn,mapper_dilate_boundary_tn,mapper_dilate_interior_tp,mapper_dilate_interior_fp,mapper_dilate_interior_fn,mapper_dilate_interior_tn,completion_all_tp,completion_all_fp,completion_all_fn,completion_all_tn,completion_boundary_tp,completion_boundary_fp,completion_boundary_fn,completion_boundary_tn,completion_interior_tp,completion_interior_fp,completion_interior_fn,completion_interior_tn
00082,614,996,11294,32146,536338,401,1075,5487,59529,43,3234,9494,196397,4106,44115,29036,503517,1282,4208,4606,56396,474,11285,9063,188346,10365,125255,22777,422377,4799,47611,1089,12993,79,3466,9458,196165
00085,629,1694,22211,36344,689667,968,1348,3740,55850,125,6687,12428,296731,5567,90702,32471,621176,1670,4005,3038,53193,1111,33688,11442,269730,9075,112032,28963,599846,3877,42137,831,15061,243,7479,12310,295939
00088,644,2121,23819,38194,797562,703,1466,3870,56769,255,9538,13132,352802,6869,96174,33446,725207,1552,4194,3021,54041,1365,43681,12022,318659,9669,108933,30646,712448,3576,42777,997,15458,501,11472,12886,350868
00091,659,1606,23198,33626,853132,410,2244,4203,69482,446,7568,9871,360243,6307,84964,28925,791366,1005,6405,3608,65321,1703,31619,8614,336192,10177,131814,25055,744516,3988,55089,625,16637,1113,9921,9204,357890
00094,674,2233,35439,31125,735546,480,3085,3948,63672,172,11877,9210,334116,7306,129525,26052,641460,1293,8710,3135,58047,827,45776,8555,300217,10725,156999,22633,613986,3677,51677,751,15080,543,16902,8839,329091
00097,689,2163,28951,20095,465504,700,3999,2834,58042,124,9806,5784,170838,7008,105766,15250,388689,1565,10635,1969,51406,1052,35841,4856,144803,9741,134405,12517,360050,2791,48672,743,13369,1201,15505,4707,165139
00100,704,2421,16261,18793,338137,536,1582,2691,44468,626,5486,5853,110818,8006,62664,13208,291734,1453,5260,1774,40790,2215,21026,4264,95278,10176,93371,11038,261027,2382,35999,845,10051,2201,8848,4278,107456
00103,719,2131,16559,23780,328429,715,2632,2870,40256,447,4896,8007,111923,5213,63185,20698,281803,1437,8072,2148,34816,1132,17990,7322,98829,8794,83039,17117,261949,2841,30611,744,12277,745,5949,7709,110870
00106,734,1761,15460,26548,303182,394,353,2327,18107,480,8125,10663,154855,6212,60085,22097,258557,1117,1230,1604,17230,1739,31338,9404,131642,6061,44173,22248,274469,1850,13620,871,4840,598,8410,10545,154570
00109,749,2319,16202,21496,226412,723,846,1229,5712,303,5693,8730,127645,5345,54856,18470,187758,1148,1790,804,4768,981,22044,8052,111294,5877,29804,17938,212810,1678,4076,274,2482,439,6234,8594,127104
00112,764,1856,11598,19962,199841,532,359,1540,4366,368,5054,7353,114453,5063,44415,16755,167024,819,855,1253,3870,1253,19776,6468,99731,4597,18423,17221,193016,1479,1127,593,3598,408,5407,7313,114100
00115,779,925,4296,30894,299801,196,784,2399,9320,131,867,14562,179983,1796,17797,30023,286300,389,2636,2206,7468,279,3130,14414,177720,5233,20981,26586,283116,2292,6562,303,3542,124,907,14569,179943
00118,794,977,8906,29591,292252,538,1062,2246,9502,80,2736,14208,161088,2266,31321,28302,269837,918,2112,1866,8452,365,11330,13923,152494,5143,24016,25425,277142,2230,5817,554,4747,392,3254,13896,160570
00121,809,938,4566,27235,272225,334,458,2942,9474,46,1513,10217,140224,2753,18872,25420,257919,661,1227,2615,8705,319,6526,9944,135211,8144,24951,20029,251840,2775,6161,501,3771,620,3041,9643,138696
00124,824,643,5585,19843,246988,82,336,3044,22595,202,1931,5997,102609,1774,20864,18712,231709,303,868,2823,22063,523,7290,5676,97250,7875,55124,12611,197449,2920,19737,206,3194,757,3737,5442,100803
00127,839,628,5681,19900,240671,382,530,3707,16202,81,1842,5765,111416,2308,20116,18220,226236,864,1464,3225,15268,328,6944,5518,106314,7791,42532,12737,203820,3839,14207,250,2525,195,2811,5651,110447
00130,854,1081,3823,20821,243050,345,530,2978,8473,259,587,6684,123160,2889,14467,19013,232406,751,1135,2572,7868,632,3707,6311,120040,8705,27896,13197,218977,3107,5088,216,3915,715,1995,6228,121752
00133,869,961,5764,20994,227339,208,472,2374,5744,279,1047,7412,117745,3279,22318,18676,210785,697,1490,1885,4726,925,5266,6766,113526,7710,25152,14245,207951,2454,2905,128,3311,802,1831,6889,116961
00136,884,1256,6551,18776,206376,199,743,2269,11388,267,2218,5772,94578,3376,23795,16656,189132,506,1656,1962,10475,764,9051,5275,87745,7697,37226,12335,175701,2378,9721,90,2410,791,4568,5248,92228
00139,899,669,6365,22213,221833,258,579,2408,7392,26,2526,7283,102082,1910,21563,20972,206635,505,1120,2161,6851,203,8174,7106,96434,7017,28736,15865,199462,2521,4907,145,3064,287,3045,7022,101563
00142,914,895,5454,24504,235709,236,344,3571,9901,156,2010,7419,106778,2602,23078,22797,218085,508,1090,3299,9155,682,8152,6893,100636,10248,39180,15151,201983,3611,7330,196,2915,1126,5679,6449,103109
00145,929,1727,3030,24585,218567,269,628,4833,11540,475,554,6596,99117,3717,13963,22595,207634,615,1334,4487,10834,1085,4167,5986,95504,11064,36508,15248,185089,4664,9226,438,2942,1271,4711,5800,94960
00148,944,730,4373,25241,219900,243,375,3077,7768,71,1271,7831,107345,2569,17958,23402,206315,528,1039,2792,7104,619,6862,7283,101754,8995,28314,16976,195959,3184,5117,136,3026,322,3513,7580,105103
00151,959,963,3943,23213,228832,324,316,4706,13492,155,1066,6240,93076,2607,19821,21569,212954,767,947,4263,12861,464,6003,5931,88139,9701,45846,14475,186929,4883,10536,147,3272,296,3507,6099,90635
00154,974,1073,3801,22407,229130,128,372,3382,7532,216,979,6694,107719,3785,16068,19695,216863,570,1362,2940,6542,623,4678,6287,104020,10193,25773,13287,207158,3149,3690,361,4214,1326,2684,5584,106014
00157,989,1084,7793,20757,239934,297,526,1907,7223,184,2720,7246,121077,3267,27073,18574,220654,837,1190,1367,6559,703,9578,6727,114219,7089,21110,14752,226617,1928,2707,276,5042,870,4917,6560,118880
00160,1004,982,8022,22571,264682,388,520,2428,7537,122,2104,7718,138098,2746,27374,20807,245330,935,1346,1881,6711,462,7569,7378,132633,6598,24200,16955,248504,2611,4951,205,3106,387,2750,7453,137452
00163,1019,1082,5939,21884,249612,171,176,704,4998,207,2230,9837,154464,4006,20283,18960,235268,460,596,415,4578,985,8175,9059,148519,3611,7843,19355,247708,513,961,362,4213,503,2427,9541,154267
00166,1034,670,4856,23556,267102,166,178,3527,9487,72,1881,7860,135948,2433,20330,21793,251628,500,750,3193,8915,398,8112,7534,129717,8684,27859,15542,244099,3489,6250,204,3415,728,2760,7204,135069
00169,1049,1638,2825,20359,240190,344,579,3468,16808,301,578,6825,107297,4148,15785,17849,227230,737,1660,3075,15727,919,3465,6207,104410,8145,38965,13852,204050,3537,13084,275,4303,567,4387,6559,103488
00172,1064,333,3157,26419,282358,100,226,3894,9293,16,713,8832,143284,1699,13239,25053,272276,485,577,3509,8942,193,3706,8655,140291,8541,26452,18211,259063,3736,5100,258,4419,243,2009,8605,141988
00175,1079,1183,3507,28251,320489,296,190,1590,10926,252,1404,14396,182422,4017,18302,25417,305694,937,1004,949,10112,783,6236,13865,177590,5250,19419,24184,304577,1273,5905,613,5211,538,3482,14110,180344
00178,1094,1274,2635,26996,315186,273,260,2137,8546,225,561,10573,175220,4716,13170,23554,304651,903,964,1507,7842,1153,2926,9645,172855,6747,15382,21523,302439,1961,5508,449,3298,475,730,10323,175051
00181,1109,740,6288,29082,339094,350,767,4187,11727,19,1670,8299,162039,2413,29469,27409,315913,852,2315,3685,10179,216,8603,8102,155106,11561,41992,18261,303390,4129,6459,408,6035,841,4751,7477,158958
00184,1124,737,2974,27511,297941,207,352,2424,8499,65,638,9299,160530,2390,15465,25858,285450,590,1140,2041,7711,339,3874,9025,157294,7375,18446,20873,282469,2293,3177,338,5674,402,1505,8962,159663
00187,1139,1199,4470,26816,331187,365,198,2744,14164,110,1732,9239,168335,3574,20116,24441,315541,829,889,2280,13473,585,6877,8764,163190,9320,25325,18695,310332,2814,5973,295,8389,517,2849,8832,167218
00190,1154,964,3512,30652,400868,304,289,3101,18519,36,847,11236,205284,2796,17693,28820,386687,811,978,2594,17830,352,4666,10920,201465,8278,34563,23338,369817,2797,10257,608,8551,408,1565,10864,204566
00193,1169,1199,6980,27750,364635,274,399,4553,21167,275,1157,8696,158578,3310,28207,25639,343408,743,1148,4084,20418,763,7802,8208,151933,10019,57944,18930,313671,4243,14114,584,7452,713,3400,8258,156335
00196,1184,844,2909,31790,405575,244,351,2086,18769,216,357,12265,197117,2758,13635,29876,394849,732,1213,1598,17907,701,3047,11780,194427,8482,34217,24152,374267,1939,10767,391,8353,649,2721,11832,194753
00199,1199,1245,2642,34422,363054,133,219,5560,15947,395,662,11944,158908,3429,12925,32238,352771,348,864,5345,15302,1044,3882,11295,155688,13480,44671,22187,321025,5268,9055,425,7111,1318,3642,11021,155928
00202,1214,793,8593,36751,394530,422,397,7190,18513,12,2288,11520,171317,2419,37520,35125,365603,1353,1697,6259,17213,112,10001,11420,163604,14978,66731,22566,336392,7100,13470,512,5440,838,6721,10694,166884
00205,1229,551,4569,29180,391472,186,583,5981,31784,81,1396,7909,155922,2125,21953,27606,374088,655,1702,5512,30665,260,7142,7730,150176,12019,78230,17712,317811,5608,27292,559,5075,592,5343,7398,151975
00208,1244,697,6334,37307,401400,278,365,5928,14288,72,1406,11492,199104,3410,28448,34594,379286,1282,1536,4924,13117,441,7013,11123,193497,13606,47048,24398,360686,5739,8715,467,5938,890,3712,10674,196798
00211,1259,1290,6938,36031,414239,422,567,3463,18074,254,2029,12952,217519,4185,33708,33136,387469,954,1914,2931,16727,608,11087,12598,208461,9150,46833,28171,374344,3424,13635,461,5006,362,8808,12844,210740
00214,1274,971,7531,42885,444749,207,1328,2666,25507,190,1705,21615,225587,3517,32569,40339,419711,449,3205,2424,23630,764,9630,21041,217662,7569,37884,36287,414396,1880,10614,993,16221,762,8559,21043,218733
00217,1289,1374,9363,42211,473007,513,1145,5303,26022,149,2422,11957,221207,4067,34881,39518,447489,1251,2685,4565,24482,451,9656,11655,213973,12838,58060,30747,424310,5150,18159,666,9008,582,4915,11524,218714
00220,1304,1153,6441,34378,385740,249,358,3465,21257,122,2161,10574,179934,4327,28635,31204,363546,740,1035,2974,20580,589,10768,10107,171327,12400,52722,23131,339459,3043,13635,671,7980,1144,8531,9552,173564
00223,1319,1181,4176,23828,303263,327,406,3572,22326,195,838,7592,127618,3014,20366,21995,287073,679,1359,3220,21373,513,5739,7274,122717,9559,52101,15450,255338,3312,15858,587,6874,1186,6926,6601,121530
00226,1334,183,3348,22243,290663,110,606,3485,26903,20,1402,6565,113438,994,18343,21432,275668,391,1799,3204,25710,154,7944,6431,106896,7957,58375,14469,235636,3016,21991,579,5518,582,5657,6003,109183
00229,1349,567,2423,35620,428592,170,161,3523,10883,109,703,12360,242592,2793,13220,33394,417795,621,574,3072,10470,464,3510,12005,239785,9240,21430,26947,409585,2893,3757,800,7287,580,1520,11889,241775
00232,1364,1480,7859,37466,429943,168,223,2580,14257,143,2678,14339,248863,4475,38207,34471,399595,545,1114,2203,13366,926,15716,13556,235825,7578,23912,31368,413890,2073,5954,675,8526,280,2841,14202,248700
00235,1379,962,6355,38144,451274,279,460,2209,10256,132,1974,16023,263046,4155,34609,34951,423020,871,2192,1617,8524,723,11820,15432,253200,7142,21921,31964,435708,1768,2722,720,7994,342,4549,15813,260471
00238,1394,585,4834,34583,443185,139,253,1732,11825,114,2497,14880,251862,2465,27204,32703,420815,497,939,1374,11139,497,13232,14497,241127,6902,21593,28266,426426,1384,4277,487,7801,785,4118,14209,250241
00241,1409,1646,8718,29192,412464,464,602,1786,10213,146,2724,12340,232116,4610,37985,26228,383197,905,1724,1345,9091,580,13616,11906,221224,6910,26043,23928,395139,1713,3012,537,7803,739,8246,11747,226594
00244,1424,663,8473,28430,402624,163,441,2809,18026,115,466,12454,197256,3750,37232,25343,373865,1384,2216,1588,16251,628,3510,11941,194212,5769,32678,23324,378419,2364,10679,608,7788,241,582,12328,197140
00247,1439,1130,2262,28686,321426,157,221,3074,15703,308,717,9931,161582,3421,11854,26395,311834,521,821,2710,15103,903,4909,9336,157390,9442,32510,20374,291178,2716,8044,515,7880,1146,3694,9093,158605
00250,1454,758,6119,28432,320594,193,414,2495,7774,94,2419,10445,176937,3223,27602,25967,299111,490,1330,2198,6858,898,11283,9641,168073,8392,26575,20798,300138,2241,3800,447,4388,692,5385,9847,173971
00253,1469,1480,8804,27291,331951,568,724,2953,14867,343,1779,9525,171047,4621,32032,24150,308723,1279,1906,2242,13685,1260,8815,8608,164011,7690,35458,21081,305297,2447,9787,1074,5804,507,2678,9361,170148
00256,1484,1425,8506,28782,315539,376,468,3286,14660,307,2976,9391,152711,4639,34464,25568,289581,850,1386,2812,13742,1294,12127,8404,143560,10034,38240,20173,285805,3296,10710,366,4418,602,3100,9096,152587
00259,1499,1047,5566,29626,300520,520,822,3641,19287,167,1224,11110,144525,3515,22347,27158,283739,1187,2268,2974,17841,673,5500,10604,140249,8737,35803,21936,270283,3865,14229,296,5880,344,1760,10933,143989
00262,1514,708,6309,33397,385695,377,633,3961,23730,54,1758,12229,183969,2496,29401,31609,362603,929,2461,3409,21902,319,9563,11964,176164,8152,49343,25953,342661,3829,18588,509,5775,109,2944,12174,182783
00265,1529,960,8925,35266,425743,447,820,3592,20383,176,1542,11873,217369,3247,33542,32979,401126,1192,2252,2847,18951,759,7264,11290,211647,8294,37824,27932,396844,3225,11448,814,9755,645,3272,11404,215639
00268,1544,1589,6485,29554,485107,758,349,2162,22702,179,1937,12666,252578,4080,26133,27063,465459,1293,995,1627,22056,673,8338,12172,246177,6393,31636,24750,459956,2157,10335,763,12716,581,4924,12264,249591
00271,1559,1011,3399,22208,403481,506,384,1578,29252,30,575,10117,192019,3202,17282,20017,389598,810,1303,1274,28333,366,3544,9781,189050,4382,38745,18837,368135,1376,15613,708,14023,224,4425,9923,188169
00274,1574,522,8102,25137,450195,103,546,2598,21838,61,1410,8684,237789,2130,34016,23529,424281,530,2174,2171,20210,515,8944,8230,230255,6686,44478,18973,413819,2122,10075,579,12309,457,5922,8288,233277
00277,1589,758,3027,31864,466351,131,497,3760,19898,349,626,11712,247613,2229,17618,30393,451760,528,1387,3363,19008,742,5538,11319,242701,8026,40902,24596,428476,3288,10625,603,9770,518,1717,11543,246522
00280,1604,619,6539,30903,392527,271,663,4673,25290,169,2161,9053,170718,2506,29191,29016,369875,696,2047,4248,23906,737,9864,8485,163015,10886,64130,20636,334936,4574,18396,370,7557,614,4108,8608,168771
00283,1619,578,5982,25728,310036,323,619,3081,18996,111,1180,8745,142980,2459,20783,23847,295235,880,2174,2524,17441,660,4191,8196,139969,7102,44117,19204,271901,2607,11335,797,8280,427,4053,8429,140107
00286,1634,819,3697,19582,235476,165,335,2285,13250,239,433,7018,109416,3099,19469,17302,219704,523,1262,1927,12323,1009,4451,6248,105398,5852,33158,14549,206015,1895,6155,555,7430,735,4837,6522,105012
00289,1649,1168,7404,19954,197705,350,198,2629,8805,136,2184,6607,92401,4364,34093,16758,171016,907,561,2072,8442,838,12751,5905,81834,6405,29571,14717,175538,2060,2482,919,6521,555,7007,6188,87578
00292,1664,1283,16470,32694,333504,208,488,2381,6825,645,12144,11628,175797,4966,62862,29011,287112,790,1663,1799,5650,2534,40531,9739,147410,8534,30390,25443,319584,1911,1908,678,5405,803,14223,11470,173718
00295,1679,1546,23041,32869,369160,410,709,6488,26792,312,11794,9560,145240,5889,87260,28526,304941,1610,3403,5288,24098,1476,42298,8396,114736,14017,89361,20398,302840,6316,22188,582,5313,747,13076,9125,143958
00298,1694,2305,28652,28624,370459,350,2766,5503,32207,761,12119,8065,139044,7763,103477,23166,295634,1398,7451,4455,27522,2532,43910,6294,107253,12584,97660,18345,301451,5591,29002,262,5971,786,13708,8040,137455
00301,1709,4144,29463,30851,367461,893,1133,6180,15537,1226,14593,8706,166594,13351,110990,21644,285934,2326,3885,4747,12785,3985,49638,5947,131549,14376,77636,20619,319288,6029,10525,1044,6145,1342,15687,8590,165500
00304,1724,4006,29819,32244,361975,565,1418,3298,12939,1234,11098,11188,195936,12408,107903,23842,283891,1494,4165,2369,10192,3762,45262,8660,161772,12414,62469,23836,329325,3533,8743,330,5614,1680,12804,10742,194230
00307,1739,2306,32720,34876,387957,625,1891,3925,20126,579,12890,11500,194197,7875,119225,29307,301452,1750,6642,2800,15375,1884,48374,10195,158713,10221,77827,26961,342850,3806,14515,744,7502,901,15198,11178,191889
00310,1754,1969,24776,39523,441348,233,1168,3456,23757,380,13214,13386,213546,7725,96505,33767,369619,900,3405,2789,21520,1857,48240,11909,178520,9823,69638,31669,396486,3135,14545,554,10380,927,19440,12839,207320
00313,1769,1383,13836,36476,378793,263,711,2744,18965,298,6162,11895,185397,6287,58903,31572,333726,715,2048,2292,17628,1233,27440,10960,164119,9049,51683,28810,340946,2663,13647,344,6029,392,8309,11801,183250
00316,1784,1253,9641,26438,303864,215,659,4069,20446,88,2218,8680,132840,4301,36946,23390,276559,724,1792,3560,19313,649,10583,8119,124475,9312,55376,18379,258129,3960,16432,324,4673,410,4550,8358,130508
00319,1799,869,6100,21582,271481,166,1317,3239,22211,264,1554,7086,110708,3906,29307,18545,248274,760,3145,2645,20383,1004,8886,6346,103376,8474,53040,13977,224541,3140,19669,265,3859,776,2720,6574,109542
00322,1814,2060,14050,26676,394147,347,1231,4696,40322,411,4215,7638,158407,7915,61122,20821,347075,1233,5153,3810,36400,1532,19502,6517,143120,10341,86976,18395,321221,4293,32458,750,9095,464,4434,7585,158188
00325,1829,2146,9663,36442,428371,523,1111,1997,8760,435,2755,14165,248165,9215,51634,29373,386400,1466,3223,1054,6648,2334,17800,12266,233120,9619,27296,28969,410738,1907,3163,613,6708,697,3433,13903,247487
00328,1844,1724,12310,36304,454302,263,899,2007,9033,306,4039,15913,267297,7345,58815,30683,407797,1024,2955,1246,6977,1628,23561,14591,247775,7544,26505,30484,440107,1598,2398,672,7534,601,5570,15618,265766
00331,1859,1615,11111,36448,454603,195,775,1844,9841,450,4926,15594,267118,6927,51744,31136,413970,811,2579,1228,8037,1969,22560,14075,249484,5663,25188,32400,440526,1315,2428,724,8188,437,4841,15607,267203
00334,1874,1704,14145,42322,477082,319,481,1498,8411,354,6056,18175,297463,6311,68545,37715,422682,702,1654,1115,7238,1524,30237,17005,273282,6734,31549,37292,459678,1161,1595,656,7297,496,6564,18033,296955
00337,1889,1422,10973,39245,450450,549,455,3004,14524,229,4271,16265,256526,5403,51536,35264,409887,1380,2311,2173,12668,1233,19822,15261,240975,8301,37943,32366,423480,2790,5840,763,9139,476,5555,16018,255242
00340,1904,905,5164,38751,434589,223,233,2231,11234,62,1463,14436,261351,4379,30675,35277,409078,1058,1586,1396,9881,472,8673,14026,254141,7603,25451,32053,414302,1784,3518,670,7949,270,3940,14228,258874
00343,1919,1543,6172,36712,481007,533,422,1891,16944,173,2068,16685,297067,4907,29850,33348,457329,1075,1579,1349,15787,687,10270,16171,288865,5609,20635,32646,466544,1525,4122,899,13244,373,4911,16485,294224
00346,1934,1231,5876,38598,525453,251,138,2137,22744,245,2867,18192,294475,3951,26224,35878,505105,842,885,1546,21997,637,10828,17800,286514,6023,30535,33806,500794,1466,12382,922,10500,294,3819,18143,293523
00349,1949,783,3531,40980,560102,366,464,1855,13420,13,607,21495,323880,2295,20798,39468,542835,739,1790,1482,12094,175,5323,21333,319164,5351,29285,36412,534348,1360,2870,861,11014,469,5795,21039,318692
00352,1964,553,10704,39290,516683,397,1752,1946,20249,46,2140,19310,312328,2115,38983,37728,488404,1045,4418,1298,17583,234,8786,19122,305682,7464,44093,32379,483294,1625,10238,718,11763,1370,9217,17986,305251
00355,1979,932,7668,34753,516103,336,927,1883,23539,171,2668,13873,279943,3268,32240,32417,491531,679,2143,1540,22323,665,12531,13379,270080,8117,49662,27568,474109,1466,8260,753,16206,949,17596,13095,265015
00358,1994,927,6950,24586,423322,468,715,1852,18529,4,1088,9908,227092,3642,29700,21871,400572,1042,1748,1278,17496,228,7317,9684,220863,7016,30771,18497,399501,1841,8460,479,10784,1055,6463,8857,221717
00361,2009,517,7202,14931,343612,159,282,1781,15004,10,2330,4989,188127,2418,35130,13030,315684,614,1145,1326,14141,47,13293,4952,177164,4346,52759,11102,298055,1474,6637,466,8649,252,23757,4747,166700
00364,2024,907,22380,10083,246587,252,536,990,13370,153,11045,3297,123137,3055,70170,7935,198797,516,1754,726,12152,859,34651,2591,99531,4071,52794,6919,216173,886,4233,356,9673,620,21077,2830,113105
00367,2039,1487,22303,8340,169674,502,543,550,7888,431,11325,2545,90914,3668,59518,6159,132459,653,1664,399,6767,965,28741,2011,73498,4612,33295,5215,158682,713,1184,339,7247,1266,16727,1710,85512
00370,2054,548,16140,17729,247137,292,377,950,4662,55,5262,5908,154881,2921,45871,15356,217406,707,934,535,4105,486,18847,5477,141296,4621,30259,13656,233018,555,667,687,4372,1061,11023,4902,149120
