clip_id,historical_valid,corrected_valid,excluded_falsely_free
scene-0092_CAM_FRONT_e568b88d_c10dfcf7,53692,53692,0
scene-0093_CAM_FRONT_6e0955c2_88c4bf6c,60628,60628,0
scene-0093_CAM_FRONT_6dab8a84_5c279586,44522,44522,0
scene-0093_CAM_FRONT_561cf9ac_85249094,38234,38234,0
scene-0093_CAM_FRONT_938d0ee9_636c9024,38859,38859,0
scene-0093_CAM_FRONT_f9438d42_4a4ea75e,36796,36796,0
scene-0094_CAM_FRONT_19ffc60b_16c4a3ea,69190,69190,0
scene-0094_CAM_FRONT_442d1845_ac83bf9a,71599,71599,0
scene-0094_CAM_FRONT_6a85b137_a2751129,76986,76986,0
scene-0094_CAM_FRONT_7dfa2547_9e527ac1,79988,79988,0
scene-0094_CAM_FRONT_15222be3_7604c6ea,69749,69749,0
scene-0094_CAM_FRONT_d00b9230_8b17a8d9,46994,46994,0
scene-0095_CAM_FRONT_78be3bd5_d773c946,11432,11432,0
scene-0095_CAM_FRONT_71b80d68_da3ef456,11745,11745,0
scene-0095_CAM_FRONT_98592cf2_e6bf9e3d,11620,11620,0
scene-0095_CAM_FRONT_18b3ef8c_2d800e7c,11000,11000,0
scene-0095_CAM_FRONT_99ccc70f_cac56fc7,10704,10704,0
scene-0096_CAM_FRONT_f9475d1f_73a3e6b8,61503,61503,0
scene-0096_CAM_FRONT_67cc592a_fd27366f,45953,45953,0
scene-0096_CAM_FRONT_3ba93f95_112aa7a7,34141,34141,0
scene-0096_CAM_FRONT_5edf36a0_7c7ce7a9,43226,43226,0
scene-0096_CAM_FRONT_9a2209d8_296e524f,47263,47263,0
scene-0097_CAM_FRONT_1c81b06c_1dd5d04e,42549,42549,0
scene-0097_CAM_FRONT_9577cf1a_6bf8421a,42489,42489,0
scene-0097_CAM_FRONT_5c6f3a7e_98a8d1c3,42674,42674,0
scene-0097_CAM_FRONT_8ef17257_50584518,40420,40420,0
scene-0097_CAM_FRONT_92c817e6_fb879538,34372,34372,0
scene-0098_CAM_FRONT_c292d90b_4dfb0052,20401,20401,0
scene-0098_CAM_FRONT_947147c6_808fabcc,32316,32316,0
scene-0098_CAM_FRONT_ffb68ec5_3307d121,59607,59607,0
scene-0098_CAM_FRONT_8a0af59b_45731d09,60151,60151,0
scene-0098_CAM_FRONT_19689911_e4437a15,43372,43372,0
scene-0099_CAM_FRONT_b9db8044_9d0e1d79,93547,93547,0
scene-0099_CAM_FRONT_fe944294_9faf87fc,92940,92940,0
scene-0099_CAM_FRONT_34dc0f07_2de4836c,88111,88111,0
scene-0099_CAM_FRONT_a9b8176b_d9151176,74474,74474,0
scene-0099_CAM_FRONT_cb39369c_eaf2f8cf,68051,68051,0
scene-0100_CAM_FRONT_028a3f3a_57913445,9617,9617,0
scene-0100_CAM_FRONT_6e80e8ce_70fce5a2,9709,9709,0
scene-0100_CAM_FRONT_52908013_d09b065a,9793,9793,0
scene-0100_CAM_FRONT_b32fbd9e_de52afcc,10005,10005,0
scene-0100_CAM_FRONT_7586016d_79a822a6,9756,9756,0
scene-0100_CAM_FRONT_9cae0163_94b913a2,9629,9629,0
scene-0101_CAM_FRONT_d5324133_901cfd30,67771,67771,0
scene-0101_CAM_FRONT_5c9d217c_7693424b,68071,68071,0
scene-0101_CAM_FRONT_48ea4572_47fce09b,67602,67602,0
scene-0101_CAM_FRONT_eaad6827_9ce5d3ae,68322,68322,0
scene-0101_CAM_FRONT_59a27b7f_b2fecdf1,51405,51405,0
scene-0101_CAM_FRONT_dac52a02_2cdbffa3,28212,28212,0
scene-0102_CAM_FRONT_806011e8_ded4f73c,53530,53530,0
scene-0102_CAM_FRONT_bf5592d0_d5d6c0c4,32830,32830,0
scene-0102_CAM_FRONT_b9237446_7f11a83e,26230,26230,0
scene-0102_CAM_FRONT_32dbf459_1c79e219,27178,27178,0
scene-0102_CAM_FRONT_2eb164aa_cb8f79c8,28051,28051,0
scene-0102_CAM_FRONT_f4186246_3c7b830b,23341,23341,0
scene-0103_CAM_FRONT_3e8750f3_747aa46b,54581,54581,0
scene-0103_CAM_FRONT_f4f86af4_a98fba72,67905,67905,0
scene-0103_CAM_FRONT_b6b0d9f2_f753d3f8,68939,68939,0
scene-0103_CAM_FRONT_b22fa0b3_9ee40201,69506,69506,0
scene-0103_CAM_FRONT_5b03af7a_0af0feb5,65955,65955,0
scene-0103_CAM_FRONT_61d9340c_6d9984d0,53132,53132,0
scene-0104_CAM_FRONT_f1b7b463_17d84afe,56545,56545,0
scene-0104_CAM_FRONT_d597cf64_115f9017,60457,60457,0
scene-0104_CAM_FRONT_45266b13_bfc227cc,62215,62215,0
scene-0104_CAM_FRONT_6252789d_9d2eedd2,60897,60897,0
scene-0104_CAM_FRONT_620c129c_4c8a92a8,57138,57138,0
scene-0105_CAM_FRONT_8d56b71c_dc3e689e,27728,27728,0
scene-0105_CAM_FRONT_f644a6fc_cef8438a,20567,20567,0
scene-0105_CAM_FRONT_70189da8_113bdf92,22865,22865,0
scene-0105_CAM_FRONT_43d141ef_a0d6bf47,23390,23390,0
scene-0105_CAM_FRONT_49ea7c2d_9d2797d7,25525,25525,0
scene-0106_CAM_FRONT_04ebf635_cd6b9c46,39119,39119,0
scene-0106_CAM_FRONT_3865cf60_a7ef3c78,45535,45535,0
scene-0106_CAM_FRONT_01bbf47b_53f457e6,52866,52866,0
scene-0106_CAM_FRONT_277ab77d_ec97abd9,51884,51884,0
scene-0106_CAM_FRONT_42bcae21_16a1238a,51369,51369,0
scene-0106_CAM_FRONT_6f601010_16333de9,43352,43352,0
scene-0107_CAM_FRONT_ad890583_4d4ba963,52577,52577,0
scene-0107_CAM_FRONT_9a8659f4_9c9f22a5,44489,44489,0
scene-0107_CAM_FRONT_05e312ea_f06ba08d,39598,39598,0
scene-0107_CAM_FRONT_3212edb0_95be92f4,42479,42479,0
scene-0107_CAM_FRONT_9578a444_3fa862e6,57511,57511,0
scene-0107_CAM_FRONT_0edf95e4_efd5303b,64824,64824,0
scene-0108_CAM_FRONT_339ead96_3203d9ab,76775,76775,0
scene-0108_CAM_FRONT_ac36a852_d96d796d,69892,69892,0
scene-0108_CAM_FRONT_b6e313eb_151d7b90,66299,66299,0
scene-0108_CAM_FRONT_fcc71bcf_be8d80ab,64847,64847,0
scene-0108_CAM_FRONT_22dcaf42_d504f7d2,55654,55654,0
scene-0109_CAM_FRONT_4d0d0697_b38d8cf8,49206,49206,0
scene-0109_CAM_FRONT_d71c3cf6_1183d8d6,62979,62979,0
scene-0109_CAM_FRONT_03f6a362_3ed3c3b3,64013,64013,0
scene-0109_CAM_FRONT_58472a34_ecc7ca46,61620,61620,0
scene-0109_CAM_FRONT_494438a3_e47ae596,51622,51622,0
scene-0109_CAM_FRONT_3b5b12f9_2e137fee,38330,38330,0
scene-0110_CAM_FRONT_80c91574_ae99f920,46737,46737,0
scene-0110_CAM_FRONT_76c84559_29264103,51314,51314,0
scene-0110_CAM_FRONT_d15bdc17_48d75ea2,53693,53693,0
scene-0110_CAM_FRONT_f809c883_77673232,51225,51225,0
scene-0110_CAM_FRONT_5697c1f2_9f184af2,51682,51682,0
scene-0110_CAM_FRONT_0ebd7d84_e0a1a4a5,49957,49957,0
scene-0221_CAM_FRONT_79070dca_daeec522,88643,88643,0
scene-0221_CAM_FRONT_8e21bcb6_99ca4527,83031,83031,0
scene-0221_CAM_FRONT_27db2832_524b696f,77867,77867,0
scene-0221_CAM_FRONT_bb9c0abe_5dd954d0,74045,74045,0
scene-0221_CAM_FRONT_af0f72a7_959c87c7,54763,54763,0
scene-0268_CAM_FRONT_30e55a3e_01a7d01c,51325,51325,0
scene-0268_CAM_FRONT_a2fada92_3bf56ebb,56721,56721,0
scene-0268_CAM_FRONT_296fcfbf_dc2b67cd,67708,67708,0
scene-0268_CAM_FRONT_e1dffaba_3c18f85f,63152,63152,0
scene-0268_CAM_FRONT_08d95280_4094ae46,48759,48759,0
scene-0269_CAM_FRONT_adce54dc_18f10858,52844,52844,0
scene-0269_CAM_FRONT_2d72c60d_14d8b492,48888,48888,0
scene-0269_CAM_FRONT_5973a055_0c97832d,53867,53867,0
scene-0269_CAM_FRONT_ca37a1ae_a4be46a1,56686,56686,0
scene-0269_CAM_FRONT_d02a787e_6e90bc36,49820,49820,0
scene-0269_CAM_FRONT_5512cfa9_21e50bd8,55554,55554,0
scene-0270_CAM_FRONT_51f37263_af4baa28,74089,74089,0
scene-0270_CAM_FRONT_8d74da14_6a02dd6b,74163,74163,0
scene-0270_CAM_FRONT_d492d47f_2f207084,74151,74151,0
scene-0270_CAM_FRONT_71a74ae0_91bb8353,65545,65545,0
scene-0270_CAM_FRONT_adebba60_12a72195,62062,62062,0
scene-0270_CAM_FRONT_12a0035c_b70d3599,61941,61941,0
scene-0271_CAM_FRONT_c28c950a_08dfcb4b,80211,80211,0
scene-0271_CAM_FRONT_b8c2c0c9_9f5b95a0,86412,86412,0
scene-0271_CAM_FRONT_cbbd3332_b0361d86,77814,77814,0
scene-0271_CAM_FRONT_a0069939_c5910605,50497,50497,0
scene-0271_CAM_FRONT_618875a2_309dffee,34207,34207,0
scene-0272_CAM_FRONT_e261f474_e7683144,86571,86571,0
scene-0272_CAM_FRONT_a4fa9d49_77d239a5,88131,88131,0
scene-0272_CAM_FRONT_fdb723ef_a77fe48a,94131,94131,0
scene-0272_CAM_FRONT_160faaad_9a9f3586,96481,96481,0
scene-0272_CAM_FRONT_deafcf11_fb2a7007,85171,85171,0
scene-0273_CAM_FRONT_1d477a7c_8ae5eb1e,73869,73869,0
scene-0273_CAM_FRONT_5eb775d7_11d08474,76169,76169,0
scene-0273_CAM_FRONT_1c9469a9_e42c4028,73529,73529,0
scene-0273_CAM_FRONT_e1e84a1a_b87c4fce,66693,66693,0
scene-0273_CAM_FRONT_49ceba17_ac2d1e89,61252,61252,0
scene-0274_CAM_FRONT_040a956b_6d32f67b,64314,64314,0
scene-0274_CAM_FRONT_d6f9027a_34cf97ab,68149,68149,0
scene-0274_CAM_FRONT_9bd318b5_728f711f,71891,71891,0
scene-0274_CAM_FRONT_4ea42d9d_144689dc,65529,65529,0
scene-0274_CAM_FRONT_d813d750_8491dd8f,66324,66324,0
scene-0274_CAM_FRONT_d90f206c_864f2bd6,55366,55366,0
scene-0275_CAM_FRONT_8fb167b9_ad7080dc,71480,71480,0
scene-0275_CAM_FRONT_96af1a7d_4ffdd341,61135,61135,0
scene-0275_CAM_FRONT_ffec010a_4523fb98,48067,48067,0
scene-0275_CAM_FRONT_6e75580f_cf4d6609,38583,38583,0
scene-0275_CAM_FRONT_5bea7ebf_33c965ec,31672,31672,0
scene-0275_CAM_FRONT_54847140_1aaff367,30851,30851,0
scene-0276_CAM_FRONT_3502d36d_f38ef511,74383,74383,0
scene-0276_CAM_FRONT_291e7331_333b8e10,71207,71207,0
scene-0276_CAM_FRONT_5099c824_c62b6ac8,59737,59737,0
scene-0276_CAM_FRONT_19eea651_4070ae6b,59184,59184,0
scene-0276_CAM_FRONT_9075f9ff_6c662b12,65036,65036,0
scene-0276_CAM_FRONT_7ff6ab92_afb43016,54185,54185,0
scene-0277_CAM_FRONT_7e2fd590_e3dbf6e9,66916,66916,0
scene-0277_CAM_FRONT_2dc6dfa0_6382c18e,58853,58853,0
scene-0277_CAM_FRONT_a593f1a2_2a07391a,64801,64801,0
scene-0277_CAM_FRONT_21146650_fae2bb46,67515,67515,0
scene-0277_CAM_FRONT_d5cb5a4a_13af3da0,68365,68365,0
scene-0277_CAM_FRONT_aae0304d_f1cfa142,58586,58586,0
scene-0278_CAM_FRONT_f4b5b6fc_b462e734,75579,75579,0
scene-0278_CAM_FRONT_c75fae3b_943884d0,74341,74341,0
scene-0278_CAM_FRONT_c1255d99_29b8d47b,77247,77247,0
scene-0278_CAM_FRONT_4c687bbe_2e24381c,76716,76716,0
scene-0278_CAM_FRONT_2996dec1_42b6df35,73423,73423,0
scene-0278_CAM_FRONT_fa5cd3e2_8cfc29cd,64316,64316,0
scene-0329_CAM_FRONT_269601cc_7d47b230,51067,51067,0
scene-0329_CAM_FRONT_0d03e6ff_deb3daf1,55689,55689,0
scene-0329_CAM_FRONT_3a58d50a_a11122da,58348,58348,0
scene-0329_CAM_FRONT_63e40c4a_1463c5e3,60276,60276,0
scene-0329_CAM_FRONT_9f7efc90_305eabe9,66246,66246,0
scene-0330_CAM_FRONT_b98e65c9_7531f8e5,71257,71257,0
scene-0330_CAM_FRONT_0de7fa32_bad735b9,67435,67435,0
scene-0330_CAM_FRONT_c4a291f3_91b4d539,58169,58169,0
scene-0330_CAM_FRONT_141a69c7_fa9853c0,40834,40834,0
scene-0330_CAM_FRONT_81ddc3fd_e54e8d4a,28954,28954,0
scene-0331_CAM_FRONT_09361337_72505908,69014,69014,0
scene-0331_CAM_FRONT_6c9ad4d2_52801254,70477,70477,0
scene-0331_CAM_FRONT_c0ab1238_6eff2305,72266,72266,0
scene-0331_CAM_FRONT_1d374f78_ddbf483c,68767,68767,0
scene-0331_CAM_FRONT_c7626771_58976dcd,52128,52128,0
scene-0332_CAM_FRONT_097c7295_8398a7b0,72869,72869,0
scene-0332_CAM_FRONT_d11353f2_e301e136,73324,73324,0
scene-0332_CAM_FRONT_fc992f09_ea5943fa,74199,74199,0
scene-0332_CAM_FRONT_ad8a760f_ae16009c,72138,72138,0
scene-0332_CAM_FRONT_e0760028_8fa01e4b,61558,61558,0
scene-0332_CAM_FRONT_5efe5833_26f23947,58017,58017,0
scene-0344_CAM_FRONT_418cbb70_66acf00f,11674,11674,0
scene-0344_CAM_FRONT_a893b19c_b416110f,12112,12112,0
scene-0344_CAM_FRONT_88918bab_78045715,12606,12606,0
scene-0344_CAM_FRONT_60321e79_76919271,12499,12499,0
scene-0344_CAM_FRONT_a1914259_4e39dbe3,12484,12484,0
scene-0344_CAM_FRONT_18e40c60_62fda3b4,12150,12150,0
scene-0345_CAM_FRONT_c525629d_14ab15e6,98122,98122,0
scene-0345_CAM_FRONT_686d05b4_c81a1a2b,96845,96845,0
scene-0345_CAM_FRONT_f2b4bd49_ece036de,93219,93219,0
scene-0345_CAM_FRONT_a29623dd_ad830c77,85675,85675,0
scene-0345_CAM_FRONT_7a80523f_1e4c2634,66338,66338,0
scene-0346_CAM_FRONT_c35efe5e_3f065eea,97292,97292,0
scene-0346_CAM_FRONT_89bc1e54_86b84392,97150,97150,0
scene-0346_CAM_FRONT_bcba1b4a_d28733ec,97547,97547,0
scene-0346_CAM_FRONT_6c6c2124_eb0fe3d4,97515,97515,0
scene-0346_CAM_FRONT_b7846996_02e898c7,92320,92320,0
scene-0346_CAM_FRONT_d4cc2c00_64d019bf,66683,66683,0
scene-0519_CAM_FRONT_4e26b427_72322fb3,49718,49718,0
scene-0519_CAM_FRONT_2dece2e8_af034ddd,56760,56760,0
scene-0519_CAM_FRONT_006cbdb2_8f1dfb1a,59340,59340,0
scene-0519_CAM_FRONT_19714a36_78858e71,68862,68862,0
scene-0519_CAM_FRONT_996f330c_a4747e22,77335,77335,0
scene-0519_CAM_FRONT_df174fd9_60808987,75478,75478,0
scene-0520_CAM_FRONT_6123a0c0_cd6b4f5e,66818,66818,0
scene-0520_CAM_FRONT_f9f8b1d1_d6171d9f,61085,61085,0
scene-0520_CAM_FRONT_0017c262_1183fca1,55001,55001,0
scene-0520_CAM_FRONT_8acdc76a_38c95aed,43998,43998,0
scene-0520_CAM_FRONT_fc7f3434_d0e49a3a,36204,36204,0
scene-0520_CAM_FRONT_117674c0_fa7e79db,38757,38757,0
scene-0521_CAM_FRONT_107dd321_516d7cdd,48989,48989,0
scene-0521_CAM_FRONT_b5c4e946_78418f83,55917,55917,0
scene-0521_CAM_FRONT_51499cd8_ee3ddd9e,59201,59201,0
scene-0521_CAM_FRONT_a28e0c7c_67d06eba,59334,59334,0
scene-0521_CAM_FRONT_b767ec16_8506f53d,58175,58175,0
scene-0521_CAM_FRONT_1adbe193_9274d056,45614,45614,0
scene-0522_CAM_FRONT_5ec2ee2d_d7af7925,54833,54833,0
scene-0522_CAM_FRONT_7187c0de_7a96a1ac,51698,51698,0
scene-0522_CAM_FRONT_ec671ed4_6cd73bca,43016,43016,0
scene-0522_CAM_FRONT_ecb9d6d3_75d09898,32761,32761,0
scene-0522_CAM_FRONT_c78ad98d_a0cd4d00,32914,32914,0
scene-0522_CAM_FRONT_c40d017e_2ba2a8fb,32470,32470,0
scene-0523_CAM_FRONT_ce03b6f0_17dc38b8,56617,56617,0
scene-0523_CAM_FRONT_0c0bc7cd_ae7d650f,66648,66648,0
scene-0523_CAM_FRONT_eaa81f61_fa411e11,66645,66645,0
scene-0523_CAM_FRONT_4f434664_02617ba1,59376,59376,0
scene-0523_CAM_FRONT_b61d51fa_4208e998,47710,47710,0
scene-0523_CAM_FRONT_119423a8_bbec622b,35945,35945,0
scene-0524_CAM_FRONT_89c92049_6f52dcbe,45938,45938,0
scene-0524_CAM_FRONT_cfa4ed9e_e9026a37,55019,55019,0
scene-0524_CAM_FRONT_1c9b06a4_94d4b003,62222,62222,0
scene-0524_CAM_FRONT_d7da6ee9_2483f870,53601,53601,0
scene-0524_CAM_FRONT_bd55e82c_6b300f08,53031,53031,0
scene-0524_CAM_FRONT_b0f8d0ae_047d2592,49852,49852,0
scene-0552_CAM_FRONT_5b905269_509430f5,107550,107550,0
scene-0552_CAM_FRONT_fb51300f_c735e5f2,112729,112729,0
scene-0552_CAM_FRONT_bc73130b_2e70460e,119374,119374,0
scene-0552_CAM_FRONT_f7480019_8b763668,119614,119614,0
scene-0552_CAM_FRONT_28d95d22_75bde66b,105309,105309,0
scene-0552_CAM_FRONT_bffcf51d_bf6ce332,74409,74409,0
scene-0553_CAM_FRONT_8687ba92_2021b6b3,10476,10476,0
scene-0553_CAM_FRONT_7315022f_82597244,9731,9731,0
scene-0553_CAM_FRONT_8bf071b1_d7bea9a3,10089,10089,0
scene-0553_CAM_FRONT_3ffc4360_4ae9c033,9820,9820,0
scene-0553_CAM_FRONT_ecd49e3c_a572dd2e,8285,8285,0
scene-0553_CAM_FRONT_313a60af_3a064c48,6912,6912,0
scene-0554_CAM_FRONT_e0b85d62_35264745,5753,5753,0
scene-0554_CAM_FRONT_1144cb46_704f3a80,5821,5821,0
scene-0554_CAM_FRONT_551d1fdf_5dbe8245,5913,5913,0
scene-0554_CAM_FRONT_7690202f_52679177,5889,5889,0
scene-0554_CAM_FRONT_1263172d_587805aa,6438,6438,0
scene-0554_CAM_FRONT_376e84a4_31f09d84,5980,5980,0
scene-0555_CAM_FRONT_12a42a64_bf8b54d2,64914,64914,0
scene-0555_CAM_FRONT_4b0caf61_f546013d,59587,59587,0
scene-0555_CAM_FRONT_c7a8c960_b6aa15f5,49927,49927,0
scene-0555_CAM_FRONT_46395439_4967dbb7,46443,46443,0
scene-0555_CAM_FRONT_d1a6bacb_577babc0,48682,48682,0
scene-0555_CAM_FRONT_48d6941a_e1101eae,50058,50058,0
scene-0556_CAM_FRONT_17e6f41d_22ab3af7,89446,89446,0
scene-0556_CAM_FRONT_e58ab79e_2b9bd710,79972,79972,0
scene-0556_CAM_FRONT_93323e6a_54af38c2,59534,59534,0
scene-0556_CAM_FRONT_c9bcbb76_81c86fee,40080,40080,0
scene-0556_CAM_FRONT_336a6e0b_e0ae88cc,32607,32607,0
scene-0556_CAM_FRONT_3e0f93ea_ccfecd57,21363,21363,0
scene-0557_CAM_FRONT_6cb74a87_149a7945,42749,42749,0
scene-0557_CAM_FRONT_0fb30231_a9172ca1,39092,39092,0
scene-0557_CAM_FRONT_208cac53_f0bd504c,34008,34008,0
scene-0557_CAM_FRONT_56a74470_6b4baeae,25938,25938,0
scene-0557_CAM_FRONT_f3697fc3_43d1d341,23245,23245,0
scene-0557_CAM_FRONT_af4ba275_87a383dc,23532,23532,0
scene-0558_CAM_FRONT_b4b5e858_1bcca0ca,103934,103934,0
scene-0558_CAM_FRONT_5471bd11_354d9848,114961,114961,0
scene-0558_CAM_FRONT_eae74c5f_befff2eb,102271,102271,0
scene-0558_CAM_FRONT_193eb290_50f3aba5,78214,78214,0
scene-0558_CAM_FRONT_c4066c80_17cdd19d,50483,50483,0
scene-0558_CAM_FRONT_bce683c6_47e1c528,32652,32652,0
scene-0559_CAM_FRONT_029af235_4ffbb895,41635,41635,0
scene-0559_CAM_FRONT_9229caee_d61b0d89,41677,41677,0
scene-0559_CAM_FRONT_357116a6_4454f64f,43522,43522,0
scene-0559_CAM_FRONT_ba887e56_68df1fb2,46190,46190,0
scene-0559_CAM_FRONT_2fdf63c9_83956bb0,58990,58990,0
scene-0559_CAM_FRONT_f7d0d2a3_c10534ca,63635,63635,0
scene-0560_CAM_FRONT_5c558d97_a4060a0e,33628,33628,0
scene-0560_CAM_FRONT_ecba6710_99d384fe,24209,24209,0
scene-0560_CAM_FRONT_f779f508_91e84099,21471,21471,0
scene-0560_CAM_FRONT_65877dfa_354b8f68,22882,22882,0
scene-0560_CAM_FRONT_e11f179b_00bf6d20,22849,22849,0
scene-0560_CAM_FRONT_3801084b_17c2afd5,23130,23130,0
scene-0561_CAM_FRONT_9eebbe06_25f8552b,62650,62650,0
scene-0561_CAM_FRONT_d3087b20_12f0d5cf,62582,62582,0
scene-0561_CAM_FRONT_cefdde03_781696f7,63160,63160,0
scene-0561_CAM_FRONT_b9c1ea3e_8a51ed03,63502,63502,0
scene-0561_CAM_FRONT_85196a97_778c13dd,63593,63593,0
scene-0561_CAM_FRONT_4c9fcbb0_3f3cf325,63176,63176,0
scene-0562_CAM_FRONT_e493c692_c79d5105,56801,56801,0
scene-0562_CAM_FRONT_1a4601bb_b6fd3363,56020,56020,0
scene-0562_CAM_FRONT_aa4dc9c8_ef8800a2,57400,57400,0
scene-0562_CAM_FRONT_8c31c49f_964b2b96,67800,67800,0
scene-0562_CAM_FRONT_be83af41_c34e3ca7,71828,71828,0
scene-0562_CAM_FRONT_3013736d_1c325d22,53834,53834,0
scene-0563_CAM_FRONT_970f41b6_95f02301,45276,45276,0
scene-0563_CAM_FRONT_ac7e7a21_3244a7f0,41395,41395,0
scene-0563_CAM_FRONT_d036b91e_069b2210,34443,34443,0
scene-0563_CAM_FRONT_cc6d0652_535df957,28850,28850,0
